idiom,dict_page,pdf_page,raw_entry_head
keep up an act,232,247,keep up an act and keep up one’s act
keep up one’s act,232,247,keep up an act and keep up one’s act
keep up appearances,232,247,keep up appearances
keep up (with someone or something),232,247,keep up (with someone or something)
keep up (with the Joneses),232,247,keep up (with the Joneses)
keep up (with the times),232,247,keep up (with the times)
Keep your shirt on!,233,248,Keep your shirt on!
keyed up,233,248,keyed up
kick a habit,233,248,kick a habit and kick the habit
kick the habit,233,248,kick a habit and kick the habit
kick off,233,248,kick off 1.
kick oneself (for doing something),233,248,kick oneself (for doing something)
kick over,233,248,kick over
kick someone or something around,233,248,kick someone or something around 1.
kick someone out,233,248,kick someone out and boot someone out
kick something in,233,248,kick something in
kick something off,233,248,kick something off
kick the bucket,233,248,kick the bucket
kick up,233,248,kick up
kick up a fuss,233,248,kick up a fuss and kick up a row; kick up a storm
kick up a row,233,248,kick up a fuss and kick up a row; kick up a storm
kick up a storm,233,248,kick up a fuss and kick up a row; kick up a storm
kick up one’s heels,233,248,kick up one’s heels
kid around (with someone),233,248,kid around (with someone)
kidding aside,233,248,kidding aside
kid(‘s) stuff,233,248,kid(‘s) stuff
kill the fatted calf,233,248,kill the fatted calf
kill time,234,249,kill time
kill two birds with one stone,234,249,kill two birds with one stone
killed outright,234,249,killed outright
a kind of (a) something,234,249,a kind of (a) something
kind of something,234,249,kind of something
a kink in my neck,234,249,a kink in my neck
kiss and make up,234,249,kiss and make up
kiss and tell,234,249,kiss and tell
the kiss of death,234,249,the kiss of death
kiss something good-bye,234,249,kiss something good-bye
kit and caboodle,234,249,kit and caboodle
kith and kin,234,249,kith and kin
knee-high to a grasshopper,234,249,knee-high to a grasshopper
knew it was coming,234,249,knew it was coming and (had) known it was coming
knit one’s brow,234,249,knit one’s brow
knock about (somewhere),234,249,knock about (somewhere)
knock-down-drag-out fight,234,249,knock-down-drag-out fight
knock it off,235,250,knock it off
knock off work,235,250,knock off work
knock one off one’s feet,235,250,knock one off one’s feet
knock oneself out (to do something),235,250,knock oneself out (to do something)
knock on wood,235,250,knock on wood
knock some heads together,235,250,knock some heads together
knock someone dead,235,250,knock someone dead
knock someone for a loop,235,250,knock someone for a loop
knock someone or something about,235,250,knock someone or something about
knock someone or something around,235,250,knock someone or something around and knock someone or something about
knock someone out (cold),235,250,knock someone out (cold) 1.
knock someone over with a feather,235,250,knock someone over with a feather
knock someone’s block off,235,250,knock someone’s block off
knock something back,235,250,knock something back
knock something down,235,250,knock something down and knock something back
knock something off,235,250,knock something off
knock the props out from under someone,235,250,knock the props out from under someone
know (all) the tricks of the trade,236,251,know (all) the tricks of the trade
know a thing or two (about someone or something),236,251,know a thing or two (about someone or something)
know a trick or two,236,251,know a trick or two
know better (than to do something),236,251,know better (than to do something)
know-how,236,251,know-how
know one’s ABCs,236,251,know one’s ABCs
know one’s onions,236,251,know one’s onions
know one’s place,236,251,know one’s place
know one’s stuff,236,251,know one’s stuff and know one’s onions
know one’s way about,236,251,know one’s way about
know one’s way around,236,251,know one’s way around and know one’s way about
know someone by sight,236,251,know someone by sight
know someone or something like a book,236,251,know someone or something like a book
know someone or something like the back of one’s hand,236,251,know someone or something like the back of one’s hand
know someone or something like the palm of one’s hand,236,251,know someone or something like the palm of one’s hand and know someone or something like the back of one’s hand; know someone or something like a book
know something backwards and forwards,236,251,know something backwards and forwards and know something forwards and backwards
know something forwards and backwards,236,251,know something backwards and forwards and know something forwards and backwards
know something by heart,236,251,know something by heart
know something from memory,237,252,know something from memory
know something inside out,237,252,know something inside out
know something only too well,237,252,know something only too well
know the ropes,237,252,know the ropes
know the score,237,252,know the score and know what’s what
know what’s what,237,252,know the score and know what’s what
know when one is not wanted,237,252,know when one is not wanted
know where all the bodies are buried,237,252,know where all the bodies are buried
know whereof one speaks,237,252,know whereof one speaks
know where someone stands (on someone or something),237,252,know where someone stands (on someone or something)
know which is which,237,252,know which is which and tell which is which
tell which is which,237,252,know which is which and tell which is which
know which side one’s bread is buttered on,237,252,know which side one’s bread is buttered on
a known fact,237,252,a known fact
known it was coming,237,252,known it was coming
a known quantity,237,252,a known quantity
knuckle down (to something),238,253,knuckle down (to something)
knuckle under (to someone or something),238,253,knuckle under (to someone or something)
a labor of love,239,254,a labor of love
lace into someone or something,239,254,lace into someone or something and light into someone or something
light into someone or something,239,254,lace into someone or something and light into someone or something
laid-back,239,254,laid-back
laid up,239,254,laid up
the land of Nod,239,254,the land of Nod
land on both feet,239,254,land on both feet
land on one’s feet,239,254,land on one’s feet and land on both feet
land up somehow or somewhere,239,254,land up somehow or somewhere
a landslide victory,239,254,a landslide victory
lap something up,239,254,lap something up
lapse into a coma,239,254,lapse into a coma
large as life,239,254,large as life
last but not least,239,254,last but not least
a last-ditch effort,239,254,a last-ditch effort
the last person,240,255,the last person
last will and testament,240,255,last will and testament
late in life,240,255,late in life
late in the day,240,255,late in the day
laugh all the way to the bank,240,255,laugh all the way to the bank
laugh out of the other side of one’s mouth,240,255,laugh out of the other side of one’s mouth
laugh something off,240,255,laugh something off
laugh something out of court,240,255,laugh something out of court
laugh up one’s sleeve,240,255,laugh up one’s sleeve
launch forth (on something),240,255,launch forth (on something)
law unto oneself,240,255,law unto oneself
lay a finger on someone or something,240,255,lay a finger on someone or something
lay an egg,240,255,lay an egg
lay down one’s life (for someone or something),240,255,lay down one’s life (for someone or something)
lay down on the job,240,255,lay down on the job
lay down the law,240,255,lay down the law 1.
lay eyes on someone or something,240,255,lay eyes on someone or something
lay hold of someone or something,240,255,lay hold of someone or something
lay into someone or something,241,256,lay into someone or something
lay it on thick,241,256,lay it on thick and lay it on with a trowel; pour it on thick; spread it on thick
lay it on with a trowel,241,256,lay it on thick and lay it on with a trowel; pour it on thick; spread it on thick
pour it on thick,241,256,lay it on thick and lay it on with a trowel; pour it on thick; spread it on thick
spread it on thick,241,256,lay it on thick and lay it on with a trowel; pour it on thick; spread it on thick
lay low,241,256,lay low
lay off (someone or something),241,256,lay off (someone or something)
the lay of the land,241,256,the lay of the land 1.
lay one’s cards on the table,241,256,lay one’s cards on the table
lay over (somewhere),241,256,lay over (somewhere)
lay someone away,241,256,lay someone away
lay someone off,241,256,lay someone off
lay someone up,241,256,lay someone up
lay something by,241,256,lay something by
lay something in,241,256,lay something in
lay something on someone,241,256,lay something on someone
lay something on the line,241,256,lay something on the line
lay something to rest,241,256,lay something to rest
lay something to waste,241,256,lay something to waste and lay waste to something
lay waste to something,241,256,lay something to waste and lay waste to something
lay the blame on someone or something,241,256,lay the blame on someone or something
lay the finger on someone,241,256,lay the finger on someone
lead a dog’s life,241,256,lead a dog’s life and live a dog’s life
live a dog’s life,241,256,lead a dog’s life and live a dog’s life
lead off,241,256,lead off
lead someone by the nose,242,257,lead someone by the nose
lead someone down the garden path,242,257,lead someone down the garden path
lead someone on a merry chase,242,257,lead someone on a merry chase
lead someone to believe something,242,257,lead someone to believe something
lead someone to do something,242,257,lead someone to do something
lead the life of Riley,242,257,lead the life of Riley
lead up to something,242,257,lead up to something
a leading question,242,257,a leading question
leaf through something,242,257,leaf through something
leak something (out),242,257,leak something (out) and let something (get) out
let something (get) out,242,257,leak something (out) and let something (get) out
lean on someone,242,257,lean on someone
lean toward doing something,242,257,lean toward doing something
learn something by heart,242,257,learn something by heart
learn something by rote,242,257,learn something by rote
learn something from the bottom up,242,257,learn something from the bottom up
learn (something) the hard way,242,257,learn (something) the hard way and find (something) out the hard way
learn the ropes,243,258,learn the ropes
learn to live with something,243,258,learn to live with something
least of all,243,258,least of all
leave a bad taste in someone’s mouth,243,258,leave a bad taste in someone’s mouth
leave a lot to be desired,243,258,leave a lot to be desired
leave no stone unturned,243,258,leave no stone unturned
leave oneself wide open for something,243,258,leave oneself wide open for something and leave oneself wide open to something
leave oneself wide open to something,243,258,leave oneself wide open for something and leave oneself wide open to something
leave one’s mark on someone,243,258,leave one’s mark on someone
leave one to one’s fate,243,258,leave one to one’s fate
leave someone flat,243,258,leave someone flat 1.
leave someone for dead,243,258,leave someone for dead
leave someone high and dry,243,258,leave someone high and dry 1.
broke.,244,259,broke.
leave someone holding the bag,244,259,leave someone holding the bag
leave someone in peace,244,259,leave someone in peace
leave someone in the lurch,244,259,leave someone in the lurch
leave someone or something hanging in midair,244,259,leave someone or something hanging in midair and keep someone or something hanging in midair
leave someone or something in one’s hands,244,259,leave someone or something in one’s hands
leave someone out in the cold,244,259,leave someone out in the cold
leave something on,244,259,leave something on
leave something open,244,259,leave something open
leave well enough alone,244,259,leave well enough alone
leave word (with someone),244,259,leave word (with someone)
left and right,244,259,left and right
lend a hand (to someone),244,259,lend a hand (to someone)
lend an ear (to someone),244,259,lend an ear (to someone)
lend color to something,244,259,lend color to something
lend oneself or itself to something,244,259,lend oneself or itself to something
lend (someone) a hand,244,259,lend (someone) a hand and lend a hand (to someone)
less than pleased,244,259,less than pleased
the lesser (of the two),245,260,the lesser (of the two)
the lesser of two evils,245,260,the lesser of two evils
let alone someone or something,245,260,let alone someone or something
Let bygones be bygones.,245,260,Let bygones be bygones.
let go of someone or something,245,260,let go of someone or something
let go (with something),245,260,let go (with something) and cut loose (with something); let loose (with something)
let loose (with something),245,260,let go (with something) and cut loose (with something); let loose (with something)
let grass grow under one’s feet,245,260,let grass grow under one’s feet
let her rip,245,260,let her rip and let it roll
let it roll,245,260,let her rip and let it roll
let it all hang out,245,260,let it all hang out
Let it go.,245,260,Let it go.
let off steam,245,260,let off steam and blow off steam
let oneself go,245,260,let oneself go
let one’s emotions show,245,260,let one’s emotions show
let one’s hair down,245,260,let one’s hair down
let out some kind of sound,245,260,let out some kind of sound
Let sleeping dogs lie.,245,260,Let sleeping dogs lie.
let someone down,246,261,let someone down
let someone go,246,261,let someone go
let someone have it (with both barrels),246,261,let someone have it (with both barrels)
let someone in on something,246,261,let someone in on something
let someone know (about something),246,261,let someone know (about something)
let someone off easy,246,261,let someone off easy
let someone off (the hook),246,261,let someone off (the hook)
let someone or something off,246,261,let someone or something off 1. and let someone off easy
let something pass,246,261,let something pass
let something ride,246,261,let something ride
let something slide,246,261,let something slide
let something slide by,246,261,let something slide by
let something slip by,246,261,let something slip by and let something slide by 1.
let something slip (out),246,261,let something slip (out)
Let the buyer beware.,246,261,Let the buyer beware.
let the cat out of the bag,246,261,let the cat out of the bag and spill the beans
spill the beans,246,261,let the cat out of the bag and spill the beans
let the chance slip by,247,262,let the chance slip by
let things slide,247,262,let things slide
let up (on someone or something),247,262,let up (on someone or something)
let us do something,247,262,let us do something
let well enough alone,247,262,let well enough alone and leave well enough alone
Let’s do lunch.,247,262,Let’s do lunch.
level something at someone,247,262,level something at someone
level with someone,247,262,level with someone
license to do something,247,262,license to do something
a lick of work,247,262,a lick of work
lick one’s chops,247,262,lick one’s chops
lick one’s lips,247,262,lick one’s lips
lick something into shape,247,262,lick something into shape and whip something into shape
whip something into shape,247,262,lick something into shape and whip something into shape
lie down on the job,247,262,lie down on the job and lay down on the job
lie fallow,247,262,lie fallow 1.
lie in state,248,263,lie in state
lie in wait for someone or something,248,263,lie in wait for someone or something
lie low,248,263,lie low and lay low
lie through one’s teeth,248,263,lie through one’s teeth
life is too short,248,263,life is too short
the life of the party,248,263,the life of the party
Life’s been good (to me).,248,263,Life’s been good (to me).
lift a hand (against someone or something),248,263,lift a hand (against someone or something) and raise a hand (against someone or something)
raise a hand (against someone or something),248,263,lift a hand (against someone or something) and raise a hand (against someone or something)
light as a feather,248,263,light as a feather
light out (for somewhere),248,263,light out (for somewhere)
light out (of somewhere),248,263,light out (of somewhere)
Lightning never strikes twice (in the same place).,248,263,Lightning never strikes twice (in the same place).
like a bat out of hell,248,263,like a bat out of hell
like a bolt out of the blue,248,263,like a bolt out of the blue
like a bump on a log,248,263,like a bump on a log
like a fish out of water,248,263,like a fish out of water
like a house afire,248,263,like a house afire
like a house on fire,249,264,like a house on fire and like a house afire
(like) an open book,249,264,(like) an open book
like a sitting duck,249,264,like a sitting duck and like sitting ducks
like sitting ducks,249,264,like a sitting duck and like sitting ducks
like a three-ring circus,249,264,like a three-ring circus
like crazy,249,264,like crazy and like mad
like mad,249,264,like crazy and like mad
like greased lightning,249,264,like greased lightning
like it or lump it,249,264,like it or lump it
Like it’s such a big deal!,249,264,Like it’s such a big deal!
like lambs to the slaughter,249,264,like lambs to the slaughter
like looking for a needle in a haystack,249,264,like looking for a needle in a haystack
like nothing on earth,249,264,like nothing on earth 1.
like one of the family,249,264,like one of the family
like to hear oneself talk,249,264,like to hear oneself talk
like (two) peas in a pod,249,264,like (two) peas in a pod
like water off a duck’s back,249,264,like water off a duck’s back
likely as not,249,264,likely as not
the likes of someone,249,264,the likes of someone
line one’s own pockets,250,265,line one’s own pockets
line someone or something up with something,250,265,line someone or something up with something
line someone up (for something),250,265,line someone up (for something)
line someone up with someone,250,265,line someone up with someone
listen to reason,250,265,listen to reason
litmus test,250,265,litmus test
A little bird told me.,250,265,A little bird told me.
a little bit,250,265,a little bit
little by little,250,265,little by little
A little (hard) work never hurt anyone.,250,265,A little (hard) work never hurt anyone.and
A little (hard) work never killed anyone.,250,265,A little (hard) work never killed anyone.
A little knowledge is a dangerous thing.,250,265,A little knowledge is a dangerous thing.
live a life of something,250,265,live a life of something
live and learn,250,265,live and learn
live and let live,251,266,live and let live
live beyond one’s means,251,266,live beyond one’s means
live by one’s wits,251,266,live by one’s wits
live for the moment,251,266,live for the moment
live from hand to mouth,251,266,live from hand to mouth
live happily ever after,251,266,live happily ever after
live high off the hog,251,266,live high off the hog and live high on the hog
live high on the hog,251,266,live high off the hog and live high on the hog
live in,251,266,live in
live in an ivory tower,251,266,live in an ivory tower
live it up,251,266,live it up
live off the fat of the land,251,266,live off the fat of the land
live on borrowed time,251,266,live on borrowed time
live out of a suitcase,251,266,live out of a suitcase
live something down,251,266,live something down
live through something,251,266,live through something
live up to one’s end of the bargain,252,267,live up to one’s end of the bargain
live up to something,252,267,live up to something
live within one’s means,252,267,live within one’s means
loaded for bear,252,267,loaded for bear 1.
lock horns (with someone),252,267,lock horns (with someone)
lock something in,252,267,lock something in
"lock, stock, and barrel",252,267,"lock, stock, and barrel"
long and (the) short of it,252,267,long and (the) short of it
Long time no see.,252,267,Long time no see.
look as if butter wouldn’t melt in one’s mouth,252,267,look as if butter wouldn’t melt in one’s mouth
look at someone cross-eyed,252,267,look at someone cross-eyed
look daggers at someone,252,267,look daggers at someone
look down one’s nose at someone or something,252,267,look down one’s nose at someone or something
look down on someone or something,252,267,look down on someone or something and look down one’s nose at someone or something
look forward to something,252,267,look forward to something
look good on paper,252,267,look good on paper
look in (on someone or something),253,268,look in (on someone or something) and check in (on someone or something)
look into something,253,268,look into something and check into something; see into something
see into something,253,268,look into something and check into something; see into something
look like a million dollars,253,268,look like a million dollars
look like death warmed over,253,268,look like death warmed over
look like something,253,268,look like something
look like something the cat dragged in,253,268,look like something the cat dragged in
look like the cat that swallowed the canary,253,268,look like the cat that swallowed the canary
look on someone as something,253,268,look on someone as something
look out,253,268,look out
look out for someone or something,253,268,look out for someone or something
look someone in the eye,253,268,look someone in the eye
look someone in the face,253,268,look someone in the face and look someone in the eye; stare someone in the face
stare someone in the face,253,268,look someone in the face and look someone in the eye; stare someone in the face
look someone or something over,253,268,look someone or something over
look someone or something up,253,268,look someone or something up and hunt someone or something up
look the other way,253,268,look the other way
look to one’s laurels,253,268,look to one’s laurels
look to someone or something (for something),253,268,look to someone or something (for something)
look under the hood,254,269,look under the hood
look up to someone,254,269,look up to someone
loom large (on the horizon),254,269,loom large (on the horizon)
lord it over someone,254,269,lord it over someone
lose face,254,269,lose face
lose ground,254,269,lose ground
lose heart,254,269,lose heart
lose one’s cool,254,269,lose one’s cool and blow one’s cool
lose oneself (in something),254,269,lose oneself (in something)
lose one’s grip,254,269,lose one’s grip
lose one’s head (over someone or something),254,269,lose one’s head (over someone or something)
lose one’s marbles,254,269,lose one’s marbles and lose one’s mind
lose one’s mind,254,269,lose one’s marbles and lose one’s mind
lose one’s reason,254,269,lose one’s reason
lose one’s shirt,254,269,lose one’s shirt
lose one’s temper,254,269,lose one’s temper
lose one’s touch (with someone or something),254,269,lose one’s touch (with someone or something)
lose one’s train of thought,254,269,lose one’s train of thought
lose out (on something),254,269,lose out (on something)
lose out to someone or something,255,270,lose out to someone or something
lose sleep (over someone or something),255,270,lose sleep (over someone or something)
lose touch (with someone or something),255,270,lose touch (with someone or something)
lose track (of someone or something),255,270,lose track (of someone or something)
lost-and-found,255,270,lost-and-found
lost and gone forever,255,270,lost and gone forever
lost in thought,255,270,lost in thought
lost on someone,255,270,lost on someone
a lot of someone or something,255,270,a lot of someone or something and lots of people or things
lots of people or things,255,270,a lot of someone or something and lots of people or things
loud and clear,255,270,loud and clear
louse something up,255,270,louse something up
lousy with something,255,270,lousy with something
love at first sight,255,270,love at first sight
lovely weather for ducks,255,270,lovely weather for ducks
low man on the totem pole,255,270,low man on the totem pole
lower oneself to some level,255,270,lower oneself to some level
lower one’s sights,255,270,lower one’s sights
lower one’s voice,256,271,lower one’s voice
lower the boom on someone,256,271,lower the boom on someone
luck out,256,271,luck out
lull someone into a false sense of security,256,271,lull someone into a false sense of security
lull someone to sleep,256,271,lull someone to sleep
the lunatic fringe,256,271,the lunatic fringe
mad about someone or something,257,272,mad about someone or something
mad as a hatter,257,272,mad as a hatter
mad as a hornet,257,272,mad as a hornet
mad as a March hare,257,272,mad as a March hare
mad as a wet hen,257,272,mad as a wet hen
mad as hell,257,272,mad as hell
mad enough to chew nails,257,272,mad enough to chew nails and angry enough to chew nails
made for each other,257,272,made for each other
made to measure,257,272,made to measure
made to order,257,272,made to order
maiden voyage,257,272,maiden voyage
main strength and awkwardness,257,272,main strength and awkwardness
make a bed,257,272,make a bed and make someone’s bed
make someone’s bed,257,272,make a bed and make someone’s bed
make a beeline for someone or something,257,272,make a beeline for someone or something
make a big deal about something,257,272,make a big deal about something
make a break for something or somewhere,257,272,make a break for something or somewhere
make a bundle,257,272,make a bundle and make a pile
make a pile,257,272,make a bundle and make a pile
make a check out (to someone),257,272,make a check out (to someone)
make a clean breast of something,258,273,make a clean breast of something
make a clean sweep,258,273,make a clean sweep
make a comeback,258,273,make a comeback
make a day of doing something,258,273,make a day of doing something and make a day of it
make a day of it,258,273,make a day of doing something and make a day of it
make a dent in something,258,273,make a dent in something
make a face,258,273,make a face
make a face (at someone),258,273,make a face (at someone) 1.
make a fast buck,258,273,make a fast buck and make a quick buck
make a quick buck,258,273,make a fast buck and make a quick buck
make a federal case out of something,258,273,make a federal case out of something and make a big deal about something
make a fool out of someone,258,273,make a fool out of someone and make a monkey out of someone
make a monkey out of someone,258,273,make a fool out of someone and make a monkey out of someone
make a friend,258,273,make a friend and make friends
make friends,258,273,make a friend and make friends
make a fuss (over someone or something),258,273,make a fuss (over someone or something) and make over someone or something 1.
make over someone or something,258,273,make a fuss (over someone or something) and make over someone or something 1.
make a go of it,258,273,make a go of it
make a great show of something,259,274,make a great show of something
make a hit (with someone or something),259,274,make a hit (with someone or something)
make a killing,259,274,make a killing
make a laughingstock of oneself or something,259,274,make a laughingstock of oneself or something and make oneself or something a laughingstock
make oneself or something a laughingstock,259,274,make a laughingstock of oneself or something and make oneself or something a laughingstock
make a living,259,274,make a living
make allowance(s) (for someone or something),259,274,make allowance(s) (for someone or something) 1.
make a long story short,259,274,make a long story short
make a meal of something,259,274,make a meal of something
make amends (for something),259,274,make amends (for something)
make a mountain out of a molehill,259,274,make a mountain out of a molehill
make an all-out effort,259,274,make an all-out effort
make a name (for oneself),259,274,make a name (for oneself)
make an appearance,259,274,make an appearance
make an appointment (with someone),259,274,make an appointment (with someone)
make an example of someone,259,274,make an example of someone
make an exception (for someone),260,275,make an exception (for someone)
make an exhibition of oneself,260,275,make an exhibition of oneself
make a night of doing something,260,275,make a night of doing something
make an impression (on someone),260,275,make an impression (on someone)
make an issue of someone or something,260,275,make an issue of someone or something
make a note of something,260,275,make a note of something
make a nuisance of oneself,260,275,make a nuisance of oneself
make a pass at someone,260,275,make a pass at someone
make a pitch (for someone or something),260,275,make a pitch (for someone or something)
make a play (for someone),260,275,make a play (for someone)
make a point,260,275,make a point
make a point of doing something,260,275,make a point of doing something
make a point of someone or something,260,275,make a point of someone or something and make an issue of someone or something
make a practice of something,260,275,make a practice of something and make something a practice
make something a practice,260,275,make a practice of something and make something a practice
make a reservation,260,275,make a reservation and make reservations
make reservations,260,275,make a reservation and make reservations
make arrangements (for someone or something),261,276,make arrangements (for someone or something) 1.
make a run for it,261,276,make a run for it
make a scene,261,276,make a scene and create a scene
make as if to do something,261,276,make as if to do something
make a silk purse out of a sow’s ear,261,276,make a silk purse out of a sow’s ear
make away with someone or something,261,276,make away with someone or something and make off with someone or something
make off with someone or something,261,276,make away with someone or something and make off with someone or something
make book on something,261,276,make book on something
make (both) ends meet,261,276,make (both) ends meet
make chin music,261,276,make chin music
make cracks (about someone or something),261,276,make cracks (about someone or something)
make do (with someone or something),261,276,make do (with someone or something)
make eyes (at someone),261,276,make eyes (at someone)
make fast work of someone or something,261,276,make fast work of someone or something
make for somewhere,261,276,make for somewhere
make free with someone or something,261,276,make free with someone or something 1.
make fun (of someone or something),262,277,make fun (of someone or something)
make good as something,262,277,make good as something
make good (at something),262,277,make good (at something)
make good money,262,277,make good money
make good on something,262,277,make good on something 1.
make good time,262,277,make good time
make hamburger out of someone or something,262,277,make hamburger out of someone or something and make mincemeat out of someone or something
make mincemeat out of someone or something,262,277,make hamburger out of someone or something and make mincemeat out of someone or something
make it,262,277,make it
make it as far as something,262,277,make it as far as something
make it hot for someone,262,277,make it hot for someone
make it one’s business to do something,262,277,make it one’s business to do something
make it to something,262,277,make it to something
make it (until something),262,277,make it (until something) and make it to something; make it as far as something
make it worth someone’s while,262,277,make it worth someone’s while
make life miserable for someone,262,277,make life miserable for someone
make light of something,262,277,make light of something
make little of someone or something,262,277,make little of someone or something
make love (to someone),263,278,make love (to someone)
make merry,263,278,make merry
make mischief,263,278,make mischief
Make no bones about it. Make no mistake (about it).,263,278,Make no bones about it. Make no mistake (about it).;
make no difference (to someone),263,278,make no difference (to someone)
make no mistake (about it),263,278,make no mistake (about it)
make nothing of something,263,278,make nothing of something
make oneself at home,263,278,make oneself at home
make oneself conspicuous,263,278,make oneself conspicuous
make oneself heard,263,278,make oneself heard
make oneself scarce,263,278,make oneself scarce
make (oneself) up,263,278,make (oneself) up
make one’s mind up,263,278,make one’s mind up
make one’s way through something,263,278,make one’s way through something
make or break someone,263,278,make or break someone
make out (with someone or something),263,278,make out (with someone or something) 1.
make overtures,263,278,make overtures
make peace (with someone),264,279,make peace (with someone)
make points (with someone),264,279,make points (with someone)
make sense,264,279,make sense
make sense out of someone or something,264,279,make sense out of someone or something
make short work of someone or something,264,279,make short work of someone or something and make fast work of someone or something
make someone eat crow,264,279,make someone eat crow
make someone look good,264,279,make someone look good
make someone look ridiculous,264,279,make someone look ridiculous
make someone or something available to someone,264,279,make someone or something available to someone
make someone’s blood boil,264,279,make someone’s blood boil
make someone’s blood run cold,264,279,make someone’s blood run cold
make someone’s flesh crawl,264,279,make someone’s flesh crawl
make someone’s gorge rise,264,279,make someone’s gorge rise
make someone’s hair stand on end,264,279,make someone’s hair stand on end
make someone’s head spin,264,279,make someone’s head spin
make someone’s head swim,264,279,make someone’s head swim and make someone’s head spin 1.
make someone sick,265,280,make someone sick
make someone’s mouth water,265,280,make someone’s mouth water
make someone’s position clear,265,280,make someone’s position clear
make someone the scapegoat for something,265,280,make someone the scapegoat for something
make someone up,265,280,make someone up
make something,265,280,make something
make something from scratch,265,280,make something from scratch
make something good,265,280,make something good and make something right
make something right,265,280,make something good and make something right
make something out of nothing,265,280,make something out of nothing 1.
make something (out) of something,265,280,make something (out) of something 1.
make something to order,265,280,make something to order
make something up,265,280,make something up 1.
make something up out of whole cloth,265,280,make something up out of whole cloth
make something up to someone,266,281,make something up to someone
make something worth someone’s while,266,281,make something worth someone’s while
make the bed,266,281,make the bed and make someone’s bed
make the best of something,266,281,make the best of something
make the feathers fly,266,281,make the feathers fly
make the fur fly,266,281,make the fur fly and make the feathers fly
make the grade,266,281,make the grade
make the most of something,266,281,make the most of something
make the scene,266,281,make the scene
make time (for someone or something),266,281,make time (for someone or something)
make time (with someone),266,281,make time (with someone)
make up for lost time,266,281,make up for lost time
make up for someone or something,266,281,make up for someone or something
make up (with someone),266,281,make up (with someone)
make use of someone or something,266,281,make use of someone or something
make waves,266,281,make waves
make way,266,281,make way
make way (for someone or something),267,282,make way (for someone or something)
man-about-town,267,282,man-about-town
man to man,267,282,man to man and woman to woman
woman to woman,267,282,man to man and woman to woman
Many hands make light work.,267,282,Many hands make light work.
many is the time,267,282,many is the time
march to (the beat of) a different drummer,267,282,march to (the beat of) a different drummer
mark my word(s),267,282,mark my word(s)
mark someone or something down,267,282,mark someone or something down 1.
mark something up,267,282,mark something up 1.
a marvel to behold,267,282,a marvel to behold
"a match for someone, something, or some creature",267,282,"a match for someone, something, or some creature"
matter-of-fact,267,282,matter-of-fact
a matter of life and death,267,282,a matter of life and death
a matter of opinion,267,282,a matter of opinion
mean business,267,282,mean business
mean for someone to do something,268,283,mean for someone to do something
mean nothing (to someone),268,283,mean nothing (to someone) 1.
mean something (to someone),268,283,mean something (to someone) 1.
mean to (do something),268,283,mean to (do something)
meant to be,268,283,meant to be
meant to be something,268,283,meant to be something
measure up (to someone or something),268,283,measure up (to someone or something)
measure up (to someone’s expectations),268,283,measure up (to someone’s expectations) and measure up to someone’s standards
measure up to someone’s standards,268,283,measure up (to someone’s expectations) and measure up to someone’s standards
meat-and-potatoes,268,283,meat-and-potatoes
a Mecca for someone,268,283,a Mecca for someone
meek as a lamb,268,283,meek as a lamb
meet one’s death,268,283,meet one’s death and meet one’s end
meet one’s end,268,283,meet one’s death and meet one’s end
meet one’s match,268,283,meet one’s match
meet one’s Waterloo,268,283,meet one’s Waterloo
meet someone halfway,268,283,meet someone halfway
meet the requirements (for something),268,283,meet the requirements (for something)
a meeting of minds,268,283,a meeting of minds
melt in one’s mouth,269,284,melt in one’s mouth 1.
mend (one’s) fences,269,284,mend (one’s) fences
mend one’s ways,269,284,mend one’s ways
mention someone or something in passing,269,284,mention someone or something in passing
merry as a cricket,269,284,merry as a cricket
merry as the day is long,269,284,merry as the day is long
mess about (with someone or something),269,284,mess about (with someone or something)
mess around (with someone or something),269,284,mess around (with someone or something) and mess about (with someone or something); monkey around (with someone or something); screw around (with someone or something)
monkey around (with someone or something),269,284,mess around (with someone or something) and mess about (with someone or something); monkey around (with someone or something); screw around (with someone or something)
screw around (with someone or something),269,284,mess around (with someone or something) and mess about (with someone or something); monkey around (with someone or something); screw around (with someone or something)
mess someone or something up,269,284,mess someone or something up 1.
middle-of-the-road,269,284,middle-of-the-road
might and main,269,284,might and main
milestone in someone’s life,269,284,milestone in someone’s life
milk of human kindness,269,284,milk of human kindness
milk someone for something,269,284,milk someone for something
millstone about one’s neck,269,284,millstone about one’s neck
mince (one’s) words,269,284,mince (one’s) words
mind one’s own business,269,284,mind one’s own business
mind one’s p’s and q’s,270,285,mind one’s p’s and q’s
mind the store,270,285,mind the store
mind you,270,285,mind you
mind your manners,270,285,mind your manners
a mine of information,270,285,a mine of information
the minute something happens,270,285,the minute something happens
a miscarriage of justice,270,285,a miscarriage of justice
misplace one’s trust (in someone),270,285,misplace one’s trust (in someone)
miss out (on something),270,285,miss out (on something) and lose out (on something)
miss (something) by a mile,270,285,miss (something) by a mile
miss the boat,270,285,miss the boat
miss the point,270,285,miss the point
mistake someone for someone else,270,285,mistake someone for someone else and mix someone up with someone else
mix someone up with someone else,270,285,mistake someone for someone else and mix someone up with someone else
mix and match,270,285,mix and match 1.
mix it up,271,286,mix it up
